name,x,y,f
1007_s_at,-0.0230094474977989,0.0700112788795897,1
1053_at,-0.243246619250137,0.419891060038732,2
117_at,-0.114195484177306,0.101709511529968,3
121_at,-0.235056480841422,1.69240701171719,4
1255_g_at,-0.138486244087801,0.426744520780239,5
1294_at,0.299874493964433,1.05803836493541,1
1316_at,0.181376088620303,0.756766103194458,2
1320_at,1.0460452234141,0.422445793530649,3
1405_i_at,-0.705068932445943,0.330486434476635,4
1431_at,0.578857052144552,0.298111849341176,5
1438_at,-0.636216417856751,0.248112029150025,1
1487_at,-0.167843905991122,0.474015890488526,2
1494_f_at,0.0197349940147529,0.0178209339714631,3
1598_g_at,0.151746546837035,1.15230728131822,4
160020_at,-0.0340081599477884,0.0773232423096207,5
1729_at,0.0277876027058852,0.0534903115231976,1
1773_at,-0.204320939512136,0.329644270864909,2
177_at,0.289240041982212,0.372570568489228,3
179_at,0.0618311750801137,0.214205872683665,4
1861_at,0.0852115260481803,0.34061495659972,5
200000_s_at,-0.0358969790980233,0.37039804136262,1
200001_at,-0.0293550198140107,0.275774993422481,2
200002_at,-0.0362243983900576,0.214462961532762,3
200003_s_at,-0.0640972852730428,1.12278806918456,4
200004_at,-0.0305027346656992,0.294277068620035,5
200005_at,-0.0243243717249708,0.0958454743774591,1
200006_at,-0.018198951955247,0.276873262594597,2
200007_at,0.0469305427739872,0.408268595516531,3
200008_s_at,0.0149034106772579,0.278799771790002,4
200009_at,-0.0457885217632157,0.272367895075269,5
200010_at,-0.0674101274423293,0.749371331383503,1
200011_s_at,-0.0193466195111345,0.0636321542155141,2
200012_x_at,0.0325149357940209,0.108991225875866,3
200013_at,0.0368592187909691,0.225867479810232,4
200014_s_at,-0.0303416302441342,0.233069537628999,5
200015_s_at,-0.0144420928503202,0.038100227241368,1
200016_x_at,0.0036556802987171,0.0185417919465305,2
200017_at,0.081734537920692,0.574321079794997,3
200018_at,0.0316719316255316,0.198954863805869,4
200019_s_at,-0.0581420293504316,0.452934108426193,5
200020_at,-0.0483061808824949,0.385539354958954,1
200021_at,-0.0246092806888711,0.142664000456313,2
200022_at,-0.0644805084116093,0.321203987171224,3
200023_s_at,-0.0416047780413162,0.584878652683397,4
200024_at,-0.00117798850568462,0.00570984080413619,5
200025_s_at,0.0905342166874306,1.12778834374167,1
200026_at,-0.00446983401452705,0.0279328901937879,2
200027_at,0.00365418080295221,0.0261229261208444,3
200028_s_at,-0.194146048598711,1.27097157053565,4
200029_at,-0.00644677135807292,0.0245838013647676,5
200030_s_at,0.0024903128057705,0.0129187361178825,1
200031_s_at,0.00946052264695041,0.0383352194255782,2
200032_s_at,-0.0687900245199309,0.561445407874864,3
200033_at,0.0896350650467443,0.745751759109842,4
200034_s_at,0.111487780666637,0.724772466943685,5
200035_at,0.0795966571724342,0.0833771406378778,1
200036_s_at,-0.0544994598528934,0.553286460061676,2
200037_s_at,0.0968459504444077,2.10749076207417,3
200038_s_at,0.0059477704718045,0.0340662407610335,4
200039_s_at,-0.0450655131665236,0.824840696390095,5
200040_at,0.0299075006871252,0.152121052162941,1
200041_s_at,-0.0773331509504214,1.34403524057428,2
200042_at,-0.0538818291063325,0.625809566392791,3
200043_at,0.0966299865303828,1.08839533108643,4
200044_at,0.00395051017025772,0.0191849689391609,5
200045_at,-0.181975578686515,2.07687505519423,1
200046_at,0.0722309804041554,0.438631283106472,2
200047_s_at,0.0959623761453781,0.555346580026105,3
200048_s_at,0.0433697660738588,0.470882528917248,4
200049_at,-0.253533281675782,0.605385670536781,5
200050_at,0.0591076939272916,0.316184590411378,1
200051_at,0.0251357867781703,0.0411717608683384,2
200052_s_at,-0.0490459825865805,0.174484847840533,3
200053_at,0.0190856693995354,0.160013230658667,4
200054_at,0.070117971875522,0.383921600552755,5
200055_at,-0.0108351656190138,0.0627009671424445,1
200056_s_at,0.0503824445958774,0.244458646257304,2
200057_s_at,0.0158968580842931,0.27100943751433,3
200058_s_at,0.0083277718082293,0.0503814257787153,4
200059_s_at,0.13899965352841,0.691982959835147,5
200060_s_at,0.0380208380772249,0.100299179308256,1
200061_s_at,-0.0295391793882729,0.140909585720931,2
200062_s_at,-0.0156631886890022,0.0807738648626964,3
200063_s_at,0.0454479279437674,0.315708087864359,4
200064_at,-0.0619681124555562,0.213783026198574,5
200065_s_at,-0.0744751762914149,1.2499458408312,1
200066_at,-0.0886157200417355,1.52332530023824,2
200067_x_at,0.0260750835629544,0.0853245151472779,3
200068_s_at,-0.0281174729141913,0.327739896722089,4
200069_at,0.203567036673546,0.818580164602157,5
200070_at,0.167595060924709,0.313287564420212,1
200071_at,0.00178225451681513,0.00540098012442902,2
200072_s_at,-0.142867549489672,1.07704138962132,3
200073_s_at,-0.0304458878003064,0.0999376953394976,4
200074_s_at,-0.01143112090665,0.0611838499757937,5
